,CompanyName,Industry,Locations,LocationCount,Rating,InterviewCount
43,Digitide Solutions,IT Services & Consulting , Hyderabad ,268,-1.0,563
44,Mphasis,IT Services & Consulting , Bengaluru ,64,-1.0,920
45,Yes Bank,Banking , Mumbai ,541,-1.0,548
46,Tata Steel,Iron & Steel , Jamshedpur ,229,-1.0,1.1k
47,Quess,Recruitment , Bengaluru ,742,-1.0,535
48,Maruti Suzuki,Automobile , Gurugram ,450,-1.0,770
49,Asian Paints,Chemicals , Mumbai ,551,-1.0,841
50,Startek,BPO , Bengaluru ,104,-1.0,627
51,UltraTech Cement,Building Material , Mumbai ,539,-1.0,788
52,Paytm,FinTech , Noida ,418,-1.0,883
53,Shriram Finance,NBFC , Chennai ,1109,-1.0,441
54,Bajaj Finance,NBFC , Pune ,974,-1.0,429
55,Sutherland Global Services,BPO , Chennai ,83,-1.0,779
56,Equitas Small Finance Bank,Banking , Chennai ,480,-1.0,1k
57,Cipla,Pharma , Mumbai ,293,-1.0,590
58,EXL Service,Analytics & KPO , Noida ,61,-1.0,897
59,Wells Fargo,Financial Services , Bengaluru ,27,-1.0,679
60,Ericsson,Telecom , Noida ,163,-1.0,470
61,Samsung,Consumer Electronics & Appliances , Noida ,583,-1.0,620
62,Dr. Reddy's,Pharma , Hyderabad ,214,-1.0,503
63,Optum Global Solutions,IT Services & Consulting , Hyderabad ,68,-1.0,756
64,Delhivery,Logistics , Gurugram ,757,-1.0,604
65,JPMorgan Chase & Co.,Financial Services , Bengaluru ,55,-1.0,861
66,ICICI Prudential Life Insurance,Insurance , Mumbai ,506,-1.0,475
67,JSW Steel,Iron & Steel , Ballari ,193,-1.0,797
68,HGS,BPO , Bengaluru ,121,-1.0,274
69,Jana Small Finance Bank,Banking , Bengaluru ,418,-1.0,305
70,Hexaware Technologies,IT Services & Consulting , Chennai ,69,-1.0,819
71,Ujjivan Small Finance Bank,Banking , Bengaluru ,535,-1.0,315
72,Sun Pharmaceutical Industries,Pharma , Vadodara ,264,-1.0,658
73,Amazon Development Centre India,Internet , Hyderabad ,146,-1.0,881
74,Lupin,Pharma , Pune ,203,-1.0,441
75,Ekart Logistics,Logistics , Bengaluru ,741,-1.0,406
76,L&T Construction,Engineering & Construction , Chennai ,433,-1.0,945
77,Zydus Lifesciences,Pharma , Ahmedabad ,178,-1.0,421
78,Hindustan Unilever,FMCG , Mumbai ,537,-1.0,465
79,KPMG India,Management Consulting , Bengaluru ,112,-1.0,923
80,ITC,FMCG , Bengaluru ,377,-1.0,687
81,Axis Max Life Insurance,Insurance , New Delhi ,498,-1.0,403
82,Megha Engineering & Infrastructures,Engineering & Construction , Hyderabad ,407,-1.0,564
83,Tata Projects,Engineering & Construction , Mumbai ,285,-1.0,591
84,Coforge,IT Services & Consulting , Noida ,103,-1.0,704
85,Bajaj Life Insurance,Insurance , Pune ,612,-1.0,443
86,L&T Technology Services,IT Services & Consulting , Bengaluru ,93,-1.0,627
87,FIS,FinTech , Pune ,60,-1.0,532
88,Cholamandalam Investment & Finance,Financial Services , Chennai ,849,-1.0,281
89,Oracle,Software Product , Bengaluru ,56,-1.0,947
90,IIFL Finance,NBFC , Mumbai ,802,-1.0,324
91,Omega Healthcare,BPO , Chennai ,69,-1.0,547
92,Muthoot Finance,NBFC , Bengaluru ,786,-1.0,348
93,Indian Army,Defence & Aerospace , New Delhi ,363,-1.0,204
94,JLL,Real Estate , Gurugram ,84,-1.0,481
95,eClerx,IT Services & Consulting , Pune ,32,-1.0,630
96,HCL Group,IT Services & Consulting , Chennai ,97,-1.0,515
97,Virtusa Consulting Services,IT Services & Consulting , Hyderabad ,55,-1.0,671
98,DMart,Retail , Mumbai ,247,-1.0,544
99,Piramal Finance,NBFC , Mumbai ,425,-1.0,293
100,Indiamart Intermesh,Internet , Noida ,173,-1.0,748
101,HSBC Group,Financial Services , Bengaluru ,63,-1.0,546
102,SMFG India Credit,NBFC , Mumbai ,596,-1.0,208
103,PolicyBazaar,Internet , Gurugram ,149,-1.0,626
104,Access Healthcare,BPO , Chennai ,63,-1.0,394
105,Aurobindo Pharma,Pharma , Hyderabad ,115,-1.0,288
106,Siemens,Industrial Automation , Bengaluru ,153,-1.0,505
107,BigBasket,Internet , Bengaluru ,140,-1.0,481
108,Udaan,Internet , Bengaluru ,367,-1.0,373
109,Manappuram Finance,NBFC , Bengaluru ,653,-1.0,220
110,GlobalLogic,IT Services & Consulting , Hyderabad ,60,-1.0,677
111,Firstsource Solutions,BPO , Bengaluru ,74,-1.0,362
112,ICICI Lombard General Insurance Company,Insurance , Mumbai ,315,-1.0,354
113,Tata Capital,NBFC , Mumbai ,441,-1.0,269
114,Shapoorji Pallonji Group,Engineering & Construction , Mumbai ,190,-1.0,421
115,Standard Chartered,Banking , Chennai ,67,-1.0,321
116,Apollo Hospitals,Healthcare , Chennai ,227,-1.0,479
117,UST,IT Services & Consulting , Bengaluru ,51,-1.0,587
118,Mahindra Finance,NBFC , Mumbai ,732,-1.0,219
119,Bosch Global Software Technologies,IT Services & Consulting , Bengaluru ,47,-1.0,387
120,Ashok Leyland,Automobile , Chennai ,264,-1.0,319
121,Swiggy,Internet , Bengaluru ,230,-1.0,566
122,Citicorp,Financial Services , Pune ,68,-1.0,622
123,Hero MotoCorp,Automobile , Gurugram ,366,-1.0,407
124,CGI Group,IT Services & Consulting , Bengaluru ,43,-1.0,556
125,Cyient,IT Services & Consulting , Hyderabad ,49,-1.0,331
126,SBI Cards & Payment Services,Financial Services , Gurugram ,442,-1.0,303
127,BNY,Financial Services , Pune ,25,-1.0,395
128,Kalpataru Projects International,Engineering & Construction , Mumbai ,321,-1.0,327
129,JustDial,Internet , Noida ,231,-1.0,392
130,IQVIA,Clinical Research , Bengaluru ,65,-1.0,548
131,NTT DATA,IT Services & Consulting , Bengaluru ,81,-1.0,744
132,Nagarjuna Construction Company,Engineering & Construction , Hyderabad ,296,-1.0,436
133,SBI Life Insurance Company,Insurance , Mumbai ,657,-1.0,308
134,TVS Motor,Automobile , Hosur ,351,-1.0,398
135,Schneider Electric,Industrial Automation , Bengaluru ,119,-1.0,453
136,CBRE,Real Estate , Hyderabad ,91,-1.0,346
137,Persistent Systems,IT Services & Consulting , Pune ,41,-1.0,709
138,vivo,Consumer Electronics & Appliances , Noida ,415,-1.0,235
139,State Bank of India,Banking , Mumbai ,618,-1.0,308
140,Atos,IT Services & Consulting , Pune ,49,-1.0,407
141,Ecom Express,Logistics , Gurugram ,776,-1.0,263
142,KEC International,Engineering & Construction , Mumbai ,312,-1.0,418
143,Amdocs,Software Product , Pune ,24,-1.0,559
144,Eviden,IT Services & Consulting , Pune ,39,-1.0,316
145,JBM Group,Auto Components , Gurugram ,117,-1.0,348
146,Varun Beverages,Beverage , New Delhi ,380,-1.0,345
147,ITC Infotech,IT Services & Consulting , Bengaluru ,68,-1.0,412
148,Nagarro,IT Services & Consulting , Gurugram ,49,-1.0,832
149,Bosch,Auto Components , Bengaluru ,132,-1.0,379
150,Randstad,Recruitment , Hyderabad ,354,-1.0,327
151,EY Global Delivery Services ( EY GDS),IT Services & Consulting , Bengaluru ,56,-1.0,883
152,Utkarsh Small Finance Bank,Banking , Varanasi ,407,-1.0,301
153,Home Credit Finance,NBFC , Gurugram ,136,-1.0,148
154,Hewlett Packard Enterprise,IT Services & Consulting , Bengaluru ,104,-1.0,267
155,Aditya Birla Fashion and Retail,Fashion & Textile , Bengaluru ,292,-1.0,266
156,Mahindra Logistics,Logistics , Mumbai ,235,-1.0,252
157,L&T Finance,NBFC , Mumbai ,634,-1.0,216
158,CARS24,Internet , Gurugram ,171,-1.0,406
159,Dell,Consumer Electronics & Appliances , Bengaluru ,118,-1.0,424
160,Havells,Electrical Equipment , Noida ,262,-1.0,290
161,OPPO,Consumer Electronics & Appliances , Greater Noida ,410,-1.0,251
162,R1 RCM,BPO , New Delhi ,46,-1.0,358
163,Intas Pharmaceuticals,Pharma , Ahmedabad ,150,-1.0,262
164,Tata AIA Life Insurance,Insurance , Mumbai ,442,-1.0,251
165,Hyundai Motor India Limited,Automobile , Chennai ,286,-1.0,323
166,Deutsche Bank,Banking , Pune ,42,-1.0,422
167,Hetero,Pharma , Hyderabad ,67,-1.0,311
168,Motilal Oswal Financial Services,Financial Services , Mumbai ,168,-1.0,542
169,Berger Paints,Chemicals , Kolkata ,355,-1.0,429
170,TeamLease Services,Recruitment , Bengaluru ,400,-1.0,250
171,Lenskart,Internet , New Delhi ,239,-1.0,446
172,VE Commercial Vehicles,Automobile , Indore ,180,-1.0,285
173,Thermax Limited,Industrial Machinery , Pune ,252,-1.0,338
174,Bajaj Auto,Automobile , Pune ,319,-1.0,325
175,Macleods Pharmaceuticals,Pharma , Mumbai ,134,-1.0,268
176,Aakash Educational Services,Education & Training , New Delhi ,245,-1.0,368
177,Kogta Financial India Limited,NBFC , Jaipur ,260,-1.0,247
178,Jubilant Foods Works,Hospitality , New Delhi ,261,-1.0,250
179,LG Electronics,Consumer Electronics & Appliances , Pune ,299,-1.0,260
180,Hindalco Industries,Metals & Mining , Sambalpur ,128,-1.0,303
181,Jindal Steel Limited,Iron & Steel , Angul ,174,-1.0,415
182,Royal Enfield,Automobile , Chennai ,374,-1.0,202
183,DCB Bank,Banking , Mumbai ,344,-1.0,227
184,State Street Corporation,Financial Services , Bengaluru ,35,-1.0,288
185,HDFC Ergo General Insurance,Insurance , Mumbai ,327,-1.0,198
186,Tata Communications,Telecom , Pune ,102,-1.0,300
187,John Deere,Industrial Machinery , Pune ,154,-1.0,267
188,RBL Bank,Banking , Mumbai ,287,-1.0,240
189,Cummins,Industrial Machinery , Pune ,115,-1.0,285
190,Oyo Rooms,Internet , Gurugram ,121,-1.0,257
191,Bank of America,Banking , Gurugram ,35,-1.0,291
192,Alembic Pharmaceuticals,Pharma , Vadodara ,187,-1.0,254
193,Pidilite Industries,Chemicals , Mumbai ,316,-1.0,257
194,Publicis Sapient,IT Services & Consulting , Bengaluru ,46,-1.0,692
195,Carelon Global Solutions,IT Services & Consulting , Bengaluru ,21,-1.0,417
196,Reliance Communications,Telecom , Mumbai ,468,-1.0,106
197,Subros,Auto Components , Noida ,89,-1.0,217
198,American Express,Financial Services , Gurugram ,53,-1.0,423
199,Altruist Technologies,BPO , Bengaluru ,44,-1.0,710
200,XpressBees,Logistics , Pune ,477,-1.0,442
201,Viatris,Pharma , Hyderabad ,80,-1.0,164
202,Aditya Birla Sun Life Insurance,Insurance , Mumbai ,488,-1.0,178
203,Grasim Industries,Building Material , Bharuch ,243,-1.0,277
204,Kyndryl,IT Services & Consulting , Bengaluru ,37,-1.0,224
205,Automatic Data Processing (ADP),Software Product , Hyderabad ,41,-1.0,290
206,PVR INOX,Media & Entertainment , New Delhi ,149,-1.0,214
207,PNB MetLife,Insurance , New Delhi ,424,-1.0,192
208,Aditya Birla Capital,NBFC , Mumbai ,341,-1.0,258
209,Escorts Kubota Limited,Automobile , Faridabad ,156,-1.0,296
210,Maersk,Logistics , Chennai ,49,-1.0,249
211,Synechron,IT Services & Consulting , Pune ,32,-1.0,405
212,KPIT Technologies,Software Product , Pune ,43,-1.0,343
213,Birlasoft,IT Services & Consulting , Pune ,50,-1.0,315
214,Glenmark Pharmaceuticals,Pharma , Mumbai ,186,-1.0,179
215,JK Cement,Building Material , New Delhi ,329,-1.0,333
216,Sodexo,Facility Management Services , Mumbai ,157,-1.0,202
217,Dabur,FMCG , New Delhi ,320,-1.0,330
218,Kotak Mahindra Life Insurance Company,Insurance , Mumbai ,257,-1.0,259
219,Godrej & Boyce Manufacturing,Consumer Electronics & Appliances , Mumbai ,166,-1.0,226
220,Bharat Electronics,Electronics Manufacturing , Bengaluru ,87,-1.0,245
221,Cogent E Services,BPO , Noida ,56,-1.0,294
222,Samvardhana Motherson Group,Auto Components , Noida ,94,-1.0,258
223,Abbott,Pharma , Mumbai ,214,-1.0,181
224,Aarti Industries,Agro Chemicals , Bharuch ,58,-1.0,330
225,Ipca Laboratories,Pharma , Mumbai ,161,-1.0,205
226,Reliance Projects & Property Management Services,Other , Kolkata ,620,-1.0,210
227,Cloudnine Hospital,Healthcare , Bengaluru ,46,-1.0,1.1k
228,PhonePe,FinTech , Bengaluru ,397,-1.0,413
229,Indian Oil Corporation,Oil & Gas , New Delhi ,311,-1.0,235
230,Reliance Digital,Retail , Mumbai ,378,-1.0,169
231,MRF Tyres,Auto Components , Chennai ,193,-1.0,372
232,Alkem Laboratories,Pharma , Mumbai ,199,-1.0,195
233,Johnson Controls,Industrial Automation , Pune ,57,-1.0,301
234,IGT Solutions,BPO , New Delhi ,47,-1.0,255
235,"NTT DATA, Inc.",IT Services & Consulting , Bengaluru ,36,-1.0,152
236,UNO Minda,Auto Components , Pune ,110,-1.0,255
237,Honda Motorcycle & Scooter,Automobile , Gurugram ,298,-1.0,203
238,ArcelorMittal Nippon Steel,Iron & Steel , Surat ,86,-1.0,272
239,[24]7.ai,Software Product , Bengaluru ,36,-1.0,186
240,Vishal Mega Mart,Retail , New Delhi ,378,-1.0,209
241,Hindustan Coca Cola Beverages,Beverage , Bengaluru ,262,-1.0,178
242,Blinkit,Internet , Gurugram ,147,-1.0,336
243,UBS,Financial Services , Pune ,19,-1.0,370
244,DTDC Express,Logistics , New Delhi ,271,-1.0,194
245,IndusInd Nippon Life Insurance,,-1,-1,-1.0,170
246,Bajaj General Insurance Limited,Insurance , Pune ,303,-1.0,139
247,Ford Motor,Automobile , Chennai ,130,-1.0,174
248,Ceat Tyres,Auto Components , Nagpur ,141,-1.0,211
249,ABB,Industrial Machinery , Bengaluru ,107,-1.0,290
250,Barclays,Banking , Pune ,35,-1.0,313
251,HARMAN,Consumer Electronics & Appliances , Bengaluru ,42,-1.0,292
252,RSPL Group,FMCG , Kanpur ,256,-1.0,257
253,AGS Health,Analytics & KPO , Chennai ,63,-1.0,211
254,NatWest Group,Banking , Gurugram ,28,-1.0,234
255,TVS Credit Services Ltd,NBFC , Chennai ,433,-1.0,157
256,Niva Bupa Health Insurance Company,Insurance , New Delhi ,319,-1.0,378
257,Croma,Retail , Mumbai ,192,-1.0,185
258,InterGlobe Aviation,Aviation , New Delhi ,105,-1.0,368
259,Alstom Transportation,Engineering & Construction , Bengaluru ,80,-1.0,277
260,Conduent,BPO , Bengaluru ,35,-1.0,232
261,Indian Air Force,Defence & Aerospace , New Delhi ,134,-1.0,81
262,Tata Technologies,Engineering & Construction , Pune ,57,-1.0,307
263,GeBBS Healthcare Solutions,BPO , Mumbai ,24,-1.0,180
264,Tata AIG,Insurance , Mumbai ,259,-1.0,192
265,Allcargo Logistics,Logistics , Mumbai ,175,-1.0,138
266,Marpu Foundation,Non-Profit , Hyderabad ,61,-1.0,265
267,UPL,Agro Chemicals , Ankleshwar ,185,-1.0,218
268,Max Healthcare,Healthcare , New Delhi ,78,-1.0,187
269,PepsiCo,Food Processing , Hyderabad ,277,-1.0,235
270,Amazon Transportation Services,Logistics , Hyderabad ,226,-1.0,254
271,Titan Company,Retail , Bengaluru ,185,-1.0,201
272,Dilip Buildcon,Engineering & Construction , Bhopal ,227,-1.0,187
273,Walmart,Retail , Bengaluru ,91,-1.0,438
274,Mankind Pharma,Pharma , New Delhi ,246,-1.0,255
275,Varroc Group,Auto Components , Pune ,62,-1.0,220
276,Jindal Stainless,Iron & Steel , Jajpur ,78,-1.0,311
277,S&P Global,Analytics & KPO , Hyderabad ,47,-1.0,328
278,Future Group,Retail , Mumbai ,207,-1.0,84
279,MSN Laboratories,Pharma , Hyderabad ,105,-1.0,171
280,Societe Generale Global Solution Centre,IT Services & Consulting , Bengaluru ,23,-1.0,295
281,Quest Global,IT Services & Consulting , Bengaluru ,49,-1.0,360
282,Afcons Infrastructure,Engineering & Construction , Mumbai ,121,-1.0,266
283,Torrent Pharmaceuticals,Pharma , Ahmedabad ,130,-1.0,166
284,Sagility,BPO , Bengaluru ,27,-1.0,245
285,IDFC FIRST Bharat,Financial Services , Chennai ,425,-1.0,151
286,Square Yards,Internet , Gurugram ,51,-1.0,227
287,HDFC Sales,Financial Services , Mumbai ,345,-1.0,190
288,CMS IT Services,IT Services & Consulting , Mumbai ,152,-1.0,158
289,ESAF Small Finance Bank,Banking , Thrissur ,442,-1.0,167
290,Zensar Technologies,IT Services & Consulting , Pune ,28,-1.0,278
291,ACC,Building Material , Mumbai ,274,-1.0,234
292,I Process Services,Recruitment , Mumbai ,404,-1.0,133
293,Ola Electric Mobility,Automobile , Bengaluru ,423,-1.0,301
294,DS Group,FMCG , Noida ,280,-1.0,215
295,Suzlon Group,Power , Pune ,141,-1.0,174
296,Tata Elxsi,IT Services & Consulting , Bengaluru ,30,-1.0,340
297,Eternal Limited,Internet , Gurugram ,220,-1.0,361
298,Fujitsu,IT Services & Consulting , Pune ,41,-1.0,213
299,Shoppers Stop,Retail , Mumbai ,82,-1.0,143
300,Bharat Financial Inclusion,Financial Services , Hyderabad ,500,-1.0,124
301,VVDN Technologies,IT Services & Consulting , Gurugram ,49,-1.0,256
302,Indus Towers,Telecom , Gurugram ,241,-1.0,223
303,Nokia,Telecom , Bengaluru ,167,-1.0,317
304,Apollo Tyres,Auto Components , Chennai ,179,-1.0,151
305,Yazaki,Auto Components , Pune ,94,-1.0,181
306,IKS Health,Healthcare , Mumbai ,31,-1.0,263
307,Fiserv,FinTech , Pune ,32,-1.0,193
308,Shree Cement,Building Material , Beawar ,255,-1.0,216
309,UnitedHealth,Healthcare , Hyderabad ,18,-1.0,84
310,Britannia,FMCG , Pune ,303,-1.0,224
311,Landmark Group,Retail , Bengaluru ,174,-1.0,175
312,SRF,Chemicals , Bharuch ,68,-1.0,208
313,Dalmia Bharat Cement,Building Material , Guwahati ,252,-1.0,197
314,Blue Dart Express Ltd,Logistics , Mumbai ,279,-1.0,127
315,Zepto,Internet , Bengaluru ,101,-1.0,442
316,Kansai Nerolac Paints,Chemicals , Mumbai ,253,-1.0,190
317,Exide Industries,Auto Components , Kolkata ,200,-1.0,212
318,Nestlé,FMCG , Gurugram ,280,-1.0,282
319,Shell,Oil & Gas , Bengaluru ,91,-1.0,235
320,Whitehat jr,EdTech , Mumbai ,48,-1.0,265
321,Tata Electronics,Semiconductors , Hosur ,50,-1.0,257
322,KPMG Global Services,Management Consulting , Bengaluru ,37,-1.0,256
323,Flex,Electronics Manufacturing , Chennai ,46,-1.0,211
324,ZS,Management Consulting , Pune ,17,-1.0,519
325,Micro Labs,Pharma , Bengaluru ,152,-1.0,152
326,Star Health & Allied Insurance,Insurance , Chennai ,330,-1.0,156
327,Capita,BPO , Pune ,31,-1.0,165
328,TVS Supply Chain Solutions,Logistics , Chennai ,153,-1.0,156
329,ElasticRun,Logistics , Pune ,385,-1.0,274
330,KFintech,Financial Services , Hyderabad ,113,-1.0,170
331,G4S,Law Enforcement & Security , Gurugram ,163,-1.0,128
332,Voltas,Consumer Electronics & Appliances , Mumbai ,206,-1.0,175
333,Sonalika Tractors,Automobile , Hoshiarpur ,194,-1.0,170
334,Ajanta Pharma,Pharma , Mumbai ,118,-1.0,164
335,BlackBuck,Internet , Bengaluru ,365,-1.0,213
336,Care Health Insurance,Insurance , Gurugram ,245,-1.0,160
337,Blue Star,Consumer Electronics & Appliances , Mumbai ,147,-1.0,197
338,Exl India,Logistics , New Delhi ,44,-1.0,130
339,Movate,IT Services & Consulting , Chennai ,38,-1.0,291
340,Domino's Pizza,Hospitality , New Delhi ,248,-1.0,125
341,NoBroker,Internet , Bengaluru ,47,-1.0,280
342,Fortis Healthcare,Healthcare , New Delhi ,69,-1.0,190
343,Adani Power,Power , Mundra ,128,-1.0,308
344,Gallagher,Insurance , Bengaluru ,29,-1.0,269
345,ACT Fibernet,Telecom , Hyderabad ,57,-1.0,159
346,Sahrudaya Healthcare (Medicover Hospitals),Healthcare , Hyderabad ,45,-1.0,144
347,DBS Bank,Banking , Hyderabad ,177,-1.0,194
348,Foxconn,Electronics Manufacturing , Chennai ,61,-1.0,226
349,Foundever,BPO , Hyderabad ,22,-1.0,179
350,Physicswallah,EdTech , Noida ,124,-1.0,271
351,Tata Advanced Systems,Defence & Aerospace , Bengaluru ,58,-1.0,186
352,Sterlite Technologies,Hardware & Networking , Chhatrapati Sambhajinagar ,101,-1.0,182
353,Bajaj Electricals,Consumer Electronics & Appliances , Mumbai ,233,-1.0,150
354,BT Group,Telecom , Gurugram ,24,-1.0,225
355,V-Mart,Retail , Gurugram ,284,-1.0,192
356,Alldigi Tech,BPO , Chennai ,36,-1.0,232
357,Sammaan Capital Limited,NBFC , Gurugram ,201,-1.0,113
358,Himalaya Wellness,Pharma , Bengaluru ,237,-1.0,147
359,Photon Interactive,IT Services & Consulting , Chennai ,18,-1.0,132
360,Tractors and Farm Equipment,Industrial Machinery , Chennai ,192,-1.0,135
361,Northern Trust Operating Services,Financial Services , Bengaluru ,27,-1.0,241
362,IntouchCX,BPO , Hyderabad ,22,-1.0,240
363,JCB,Industrial Machinery , Pune ,113,-1.0,168
364,Laurus Labs,Pharma , Visakhapatnam ,34,-1.0,154
365,Parle Agro,Beverage , Mumbai ,256,-1.0,143
366,Patanjali Ayurved,FMCG , Haridwar ,301,-1.0,135
367,Planet Spark,EdTech , Gurugram ,61,-1.0,591
368,McDonald's,Hospitality , New Delhi ,149,-1.0,154
369,Statestreet HCL Services,BPO , Chennai ,18,-1.0,219
370,Paras Hospital,Healthcare , Patna ,62,-1.0,99
371,Canara HSBC Life Insurance,Insurance , Gurugram ,314,-1.0,132
372,ICICI Securities,Financial Services , Mumbai ,148,-1.0,196
373,Emcure Pharmaceuticals,Pharma , Pune ,115,-1.0,125
374,Biocon Limited,Biotechnology , Bengaluru ,65,-1.0,186
375,Mahindra Rural Housing Finance,NBFC , Mumbai ,463,-1.0,104
376,Hero FinCorp,NBFC , New Delhi ,391,-1.0,120
377,Mahindra Holidays & Resorts,Hospitality , Mumbai ,113,-1.0,127
378,Intellect Design Arena,Software Product , Chennai ,40,-1.0,182
379,Datamatics Global Services,IT Services & Consulting , Mumbai ,37,-1.0,180
380,Adani Group,Power , Ahmedabad ,193,-1.0,286
381,CorroHealth Infotech,Analytics & KPO , Hyderabad ,35,-1.0,278
382,Taj Hotels Resorts and Palaces,Hospitality , Mumbai ,109,-1.0,157
383,Axis Direct,Financial Services , Mumbai ,270,-1.0,87
384,Cholamandalam MS General Insurance,Insurance , Chennai ,387,-1.0,115
385,3i Infotech,IT Services & Consulting , Mumbai ,129,-1.0,164
386,Capgemini Engineering,IT Services & Consulting , Bengaluru ,27,-1.0,396
387,Cadila Pharmaceuticals,Pharma , Ahmedabad ,134,-1.0,157
388,Aditya Birla Group,Metals & Mining , Mumbai ,267,-1.0,242
389,Info Edge,Internet , Noida ,69,-1.0,377
390,Syngene International,Clinical Research , Bengaluru ,21,-1.0,191
391,KocharTech,IT Services & Consulting , Kolkata ,25,-1.0,80
392,Bureau Veritas,Other , Mumbai ,146,-1.0,143
393,Cybage,IT Services & Consulting , Pune ,15,-1.0,212
394,Delhi Public School,Education & Training , New Delhi ,273,-1.0,155
395,Aavas Financiers,NBFC , Jaipur ,293,-1.0,120
396,RMSI,IT Services & Consulting , Hyderabad ,25,-1.0,193
397,Xoriant,IT Services & Consulting , Pune ,23,-1.0,233
398,Lifestyle,Retail , Bengaluru ,129,-1.0,83
399,TaskUs,BPO , Indore ,35,-1.0,221
400,Sopra Steria,IT Services & Consulting , Noida ,20,-1.0,184
401,Akums Drugs & Pharmaceuticals Limited,Pharma , Haridwar ,39,-1.0,329
402,Kia India,Automobile , Anantapur ,188,-1.0,177
403,Straive,IT Services & Consulting , Chennai ,31,-1.0,221
404,GVK Emergency Management and Research Institute,Non-Profit , Lucknow ,213,-1.0,117
405,Eureka Forbes,Consumer Electronics & Appliances , Mumbai ,184,-1.0,91
406,Sobha,Real Estate , Bengaluru ,37,-1.0,164
407,Apollo Pharmacy,Pharma , Hyderabad ,281,-1.0,184
408,Unacademy,EdTech , Bengaluru ,72,-1.0,237
409,Radisson Hotels,Hospitality , New Delhi ,127,-1.0,102
410,Lodha,Real Estate , Mumbai ,30,-1.0,171
411,Myntra,Internet , Bengaluru ,103,-1.0,326
412,Endurance Technologies Limited,Auto Components , Chhatrapati Sambhajinagar ,50,-1.0,135
413,Team Computers,IT Services & Consulting , New Delhi ,105,-1.0,200
414,SBI Securities,Financial Services , Mumbai ,315,-1.0,182
415,TCE,Engineering & Construction , Mumbai ,132,-1.0,293
416,Panasonic Life Solutions India,Consumer Electronics & Appliances , Haridwar ,168,-1.0,96
417,Lava International,Consumer Electronics & Appliances , Noida ,222,-1.0,87
418,AWL Agri Business,FMCG , Ahmedabad ,199,-1.0,133
419,Star Union Dai-ichi Life Insurance,Insurance , Mumbai ,315,-1.0,133
